Categories,Eligible for Supply Chain Only,Activities,1 oz.,2 oz.,3 oz.,4 oz.,5 oz.,6 oz.,7 oz.,8 oz.,9 oz.,10 oz.,11 oz.,12 oz.,13 oz.,14 oz.,15 oz.,15.99 oz.,1 lb.,2 lb.,3 lb.,4 lb.,5 lb.,6 lb.,7 lb.,8 lb.,9 lb.,10 lb.,11 lb.,12 lb.,13 lb.,14 lb.,15 lb.,16 lb.,17 lb.,18 lb.,19 lb.,20 lb.,21 lb.,22 lb.,23 lb.,24 lb.,25 lb.,26 lb.,27 lb.,28 lb.,29 lb.,30 lb.,31 lb.,32 lb.,33 lb.,34 lb.,35 lb.,36 lb.,37 lb.,38 lb.,39 lb.,40 lb.,41 lb.,42 lb.,43 lb.,44 lb.,45 lb.,46 lb.,47 lb.,48 lb.,49 lb.,50 lb.,51 lb.,52 lb.,53 lb.,54 lb.,55 lb.
Patio & Garden -> Gardening & Lawn Care -> Mowers,Y,"Receive, check in, inspect (brand new, like new, used), store to a shelf/pallet, B2C/B2B fulfillment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.461778710937501,7.493322700195313,7.524866689453126,7.556410678710939,7.587954667968751,7.619498657226564,7.651042646484377,7.682586635742189,7.714130625000002,7.745674614257815,7.777218603515627,7.80876259277344,7.8403065820312525,7.871850571289065,7.903394560546878,7.9349385498046905,7.966482539062503,7.998026528320315,8.029570517578128,8.06111450683594,8.092658496093753,8.124202485351566,8.155746474609378,8.18729046386719,8.218834453125003,8.250378442382814,8.281922431640627,8.31346642089844,8.34501041015625,8.376554399414061,8.408098388671874,9.827577905273436,11.247057421874999,12.666536938476561,14.086016455078123,15.505495971679688
Patio & Garden -> Gardening & Lawn Care -> Other,Y,"Receive, check in, inspect (brand new, like new, used), store to a shelf/pallet, B2C/B2B fulfillment",2.29603125,2.29603125,2.29603125,2.29603125,2.29603125,2.29603125,2.29603125,2.29603125,2.58303515625,2.8700390625,3.15704296875,3.4440468749999997,3.73105078125,4.0180546875,4.30505859375,4.5920625,4.5920625,4.5920625,4.698878124999999,4.80569375,4.912509374999999,5.0979107812499995,5.2833121875,5.46871359375,5.654115000000001,5.8395164062500005,6.001742636718751,6.163968867187501,6.326195097656251,6.488421328125002,6.650647558593752,6.812873789062501,6.975100019531251,7.137326250000001,7.299552480468751,7.461778710937501,7.493322700195313,7.524866689453126,7.556410678710939,7.587954667968751,7.619498657226564,7.651042646484377,7.682586635742189,7.714130625000002,7.745674614257815,7.777218603515627,7.80876259277344,7.8403065820312525,7.871850571289065,7.903394560546878,7.9349385498046905,7.966482539062503,7.998026528320315,8.029570517578128,8.06111450683594,8.092658496093753,8.124202485351566,8.155746474609378,8.18729046386719,8.218834453125003,8.250378442382814,8.281922431640627,8.31346642089844,8.34501041015625,8.376554399414061,8.408098388671874,9.827577905273436,11.247057421874999,12.666536938476561,14.086016455078123,15.505495971679688
Patio & Garden -> Gardening & Lawn Care -> Snow Removal,Y,"Receive, check in, inspect (brand new, like new, used), store to a shelf/pallet, B2C/B2B fulfillment",,,,,,,,,,,,,,,,,4.5920625,4.5920625,4.698878124999999,4.80569375,4.912509374999999,5.0979107812499995,5.2833121875,5.46871359375,5.654115000000001,5.8395164062500005,6.001742636718751,6.163968867187501,6.326195097656251,6.488421328125002,6.650647558593752,6.812873789062501,6.975100019531251,7.137326250000001,7.299552480468751,7.461778710937501,7.493322700195313,7.524866689453126,7.556410678710939,7.587954667968751,7.619498657226564,7.651042646484377,7.682586635742189,7.714130625000002,7.745674614257815,7.777218603515627,7.80876259277344,7.8403065820312525,7.871850571289065,7.903394560546878,7.9349385498046905,7.966482539062503,7.998026528320315,8.029570517578128,8.06111450683594,8.092658496093753,8.124202485351566,8.155746474609378,8.18729046386719,8.218834453125003,8.250378442382814,8.281922431640627,8.31346642089844,8.34501041015625,8.376554399414061,8.408098388671874,9.827577905273436,11.247057421874999,12.666536938476561,14.086016455078123,15.505495971679688
Patio & Garden -> Gardening & Lawn Care -> Trimmers & Edgers,Y,"Receive, check in, inspect (brand new, like new, used), store to a shelf/pallet, B2C/B2B fulfillment",,,,,,,,,,,,,,,,,,,,,4.912509374999999,5.0979107812499995,5.2833121875,5.46871359375,5.654115000000001,5.8395164062500005,6.001742636718751,6.163968867187501,6.326195097656251,6.488421328125002,6.650647558593752,6.812873789062501,6.975100019531251,7.137326250000001,7.299552480468751,7.461778710937501,7.493322700195313,7.524866689453126,7.556410678710939,7.587954667968751,7.619498657226564,7.651042646484377,7.682586635742189,7.714130625000002,7.745674614257815,7.777218603515627,,,,,,,,,,,,,,,,,,,,,,,,,
Patio & Garden -> Grills & Outdoor Cooking,Y,"Receive, check in, inspect (brand new, like new, used), store to a shelf/pallet, B2C/B2B fulfillment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.461778710937501,7.493322700195313,7.524866689453126,7.556410678710939,7.587954667968751,7.619498657226564,7.651042646484377,7.682586635742189,7.714130625000002,7.745674614257815,7.777218603515627,7.80876259277344,7.8403065820312525,7.871850571289065,7.903394560546878,7.9349385498046905,7.966482539062503,7.998026528320315,8.029570517578128,8.06111450683594,8.092658496093753,8.124202485351566,8.155746474609378,8.18729046386719,8.218834453125003,8.250378442382814,8.281922431640627,8.31346642089844,8.34501041015625,8.376554399414061,8.408098388671874,9.827577905273436,11.247057421874999,12.666536938476561,14.086016455078123,15.505495971679688
Patio & Garden -> Hot Tubs & Saunas,Y,"Receive, check in, inspect (brand new, like new, used), store to a shelf/pallet, B2C/B2B fulfillment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.461778710937501,7.493322700195313,7.524866689453126,7.556410678710939,7.587954667968751,7.619498657226564,7.651042646484377,7.682586635742189,7.714130625000002,7.745674614257815,7.777218603515627,7.80876259277344,7.8403065820312525,7.871850571289065,7.903394560546878,7.9349385498046905,7.966482539062503,7.998026528320315,8.029570517578128,8.06111450683594,8.092658496093753,8.124202485351566,8.155746474609378,8.18729046386719,8.218834453125003,8.250378442382814,8.281922431640627,8.31346642089844,8.34501041015625,8.376554399414061,8.408098388671874,9.827577905273436,11.247057421874999,12.666536938476561,14.086016455078123,15.505495971679688
Patio & Garden -> Outdoor Play,Y,"Receive, check in, inspect (brand new, like new, used), store to a shelf/pallet, B2C/B2B fulfillment",2.29603125,2.29603125,2.29603125,2.29603125,2.29603125,2.29603125,2.29603125,2.29603125,2.58303515625,2.8700390625,3.15704296875,3.4440468749999997,3.73105078125,4.0180546875,4.30505859375,4.5920625,4.5920625,4.5920625,4.698878124999999,4.80569375,4.912509374999999,5.0979107812499995,5.2833121875,5.46871359375,5.654115000000001,5.8395164062500005,6.001742636718751,6.163968867187501,6.326195097656251,6.488421328125002,6.650647558593752,6.812873789062501,6.975100019531251,7.137326250000001,7.299552480468751,7.461778710937501,7.493322700195313,7.524866689453126,7.556410678710939,7.587954667968751,7.619498657226564,7.651042646484377,7.682586635742189,7.714130625000002,7.745674614257815,7.777218603515627,7.80876259277344,7.8403065820312525,7.871850571289065,7.903394560546878,7.9349385498046905,7.966482539062503,7.998026528320315,8.029570517578128,8.06111450683594,8.092658496093753,8.124202485351566,8.155746474609378,8.18729046386719,8.218834453125003,8.250378442382814,8.281922431640627,8.31346642089844,8.34501041015625,8.376554399414061,8.408098388671874,9.827577905273436,11.247057421874999,12.666536938476561,14.086016455078123,15.505495971679688
Patio & Garden -> Patio & Outdoor Lighting / Decor,Y,"Receive, check in, inspect (brand new, like new, used), store to a shelf/pallet, B2C/B2B fulfillment",2.29603125,2.29603125,2.29603125,2.29603125,2.29603125,2.29603125,2.29603125,2.29603125,2.58303515625,2.8700390625,3.15704296875,3.4440468749999997,3.73105078125,4.0180546875,4.30505859375,4.5920625,4.5920625,4.5920625,4.698878124999999,4.80569375,4.912509374999999,5.0979107812499995,5.2833121875,5.46871359375,5.654115000000001,5.8395164062500005,6.001742636718751,6.163968867187501,6.326195097656251,6.488421328125002,6.650647558593752,6.812873789062501,6.975100019531251,7.137326250000001,7.299552480468751,7.461778710937501,7.493322700195313,7.524866689453126,7.556410678710939,7.587954667968751,7.619498657226564,7.651042646484377,7.682586635742189,7.714130625000002,7.745674614257815,7.777218603515627,,,,,,,,,,,,,,,,,,,,,,,,,
Patio & Garden -> Pools & Water Fun,Y,"Receive, check in, inspect (brand new, like new, used), store to a shelf/pallet, B2C/B2B fulfillment",2.29603125,2.29603125,2.29603125,2.29603125,2.29603125,2.29603125,2.29603125,2.29603125,2.58303515625,2.8700390625,3.15704296875,3.4440468749999997,3.73105078125,4.0180546875,4.30505859375,4.5920625,4.5920625,4.5920625,4.698878124999999,4.80569375,4.912509374999999,5.0979107812499995,5.2833121875,5.46871359375,5.654115000000001,5.8395164062500005,6.001742636718751,6.163968867187501,6.326195097656251,6.488421328125002,6.650647558593752,6.812873789062501,6.975100019531251,7.137326250000001,7.299552480468751,7.461778710937501,7.493322700195313,7.524866689453126,7.556410678710939,7.587954667968751,7.619498657226564,7.651042646484377,7.682586635742189,7.714130625000002,7.745674614257815,7.777218603515627,7.80876259277344,7.8403065820312525,7.871850571289065,7.903394560546878,7.9349385498046905,7.966482539062503,7.998026528320315,8.029570517578128,8.06111450683594,8.092658496093753,8.124202485351566,8.155746474609378,8.18729046386719,8.218834453125003,8.250378442382814,8.281922431640627,8.31346642089844,8.34501041015625,8.376554399414061,8.408098388671874,9.827577905273436,11.247057421874999,12.666536938476561,14.086016455078123,15.505495971679688
Pet Toys & Pet Supplies,Y,,1.83825,1.83825,1.83825,1.83825,1.83825,1.83825,1.83825,1.83825,2.0680312499999998,2.2978125,2.52759375,2.7573749999999997,2.98715625,3.2169375,3.44671875,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765,3.6765
Sporting,,,2.1434375,2.1434375,2.1434375,2.1434375,2.1434375,2.1434375,2.1434375,2.1434375,2.4113671875000002,2.6792968750000004,2.9472265625,3.21515625,3.4830859375000003,3.751015625,4.0189453125000005,4.286875,4.286875,4.286875,4.3580854166666665,4.429295833333333,4.50050625,4.6241071875,4.747708125,4.8713090625,4.99491,5.1185109375,5.2266617578125,5.334812578125,5.4429633984375,5.5511142187499996,5.6592650390624994,5.767415859374999,5.8755666796875,5.9837175,6.0918683203125,6.200019140625001,6.2210484667968755,6.24207779296875,6.263107119140625,6.2841364453125,6.305165771484375,6.3261950976562495,6.347224423828124,6.368253749999999,6.389283076171874,6.410312402343749,6.431341728515624,6.452371054687498,6.473400380859373,6.494429707031248,6.515459033203123,6.536488359374998,6.557517685546872,6.578547011718747,6.599576337890623,6.620605664062498,6.6416349902343725,6.662664316406248,6.683693642578124,6.704722968749999,6.7257522949218735,6.746781621093749,6.767810947265625,6.7888402734375,6.8098695996093745,6.83089892578125,7.777218603515625,8.72353828125,9.669857958984375,10.61617763671875,11.562497314453125
"Sports, Fitness & Outdoors -> Boats & Water Sports",Y,"Receive, check in, inspect (brand new, like new, used), store to a shelf/pallet, B2C/B2B fulfillment",2.1434375,2.1434375,2.1434375,2.1434375,2.1434375,2.1434375,2.1434375,2.1434375,2.4113671875000002,2.6792968750000004,2.9472265625,3.21515625,3.4830859375000003,3.751015625,4.0189453125000005,4.286875,4.286875,4.286875,4.3580854166666665,4.429295833333333,4.50050625,4.6241071875,4.747708125,4.8713090625,4.99491,5.1185109375,5.2266617578125,5.334812578125,5.4429633984375,5.5511142187499996,5.6592650390624994,5.767415859374999,5.8755666796875,5.9837175,6.0918683203125,6.200019140625001,6.2210484667968755,6.24207779296875,6.263107119140625,6.2841364453125,6.305165771484375,6.3261950976562495,6.347224423828124,6.368253749999999,6.389283076171874,6.410312402343749,6.431341728515624,6.452371054687498,6.473400380859373,6.494429707031248,6.515459033203123,6.536488359374998,6.557517685546872,6.578547011718747,6.599576337890623,6.620605664062498,6.6416349902343725,6.662664316406248,6.683693642578124,6.704722968749999,6.7257522949218735,6.746781621093749,6.767810947265625,6.7888402734375,6.8098695996093745,6.83089892578125,7.777218603515625,8.72353828125,9.669857958984375,10.61617763671875,11.562497314453125
"Sports, Fitness & Outdoors -> Camping & Hiking",Y,"Receive, check in, inspect (brand new, like new, used), store to a shelf/pallet, B2C/B2B fulfillment",2.1434375,2.1434375,2.1434375,2.1434375,2.1434375,2.1434375,2.1434375,2.1434375,2.4113671875000002,2.6792968750000004,2.9472265625,3.21515625,3.4830859375000003,3.751015625,4.0189453125000005,4.286875,4.286875,4.286875,4.3580854166666665,4.429295833333333,4.50050625,4.6241071875,4.747708125,4.8713090625,4.99491,5.1185109375,5.2266617578125,5.334812578125,5.4429633984375,5.5511142187499996,5.6592650390624994,5.767415859374999,5.8755666796875,5.9837175,6.0918683203125,6.200019140625001,6.2210484667968755,6.24207779296875,6.263107119140625,6.2841364453125,6.305165771484375,6.3261950976562495,6.347224423828124,6.368253749999999,6.389283076171874,6.410312402343749,6.431341728515624,6.452371054687498,6.473400380859373,6.494429707031248,6.515459033203123,6.536488359374998,6.557517685546872,6.578547011718747,6.599576337890623,6.620605664062498,6.6416349902343725,6.662664316406248,6.683693642578124,6.704722968749999,6.7257522949218735,6.746781621093749,6.767810947265625,6.7888402734375,6.8098695996093745,6.83089892578125,7.777218603515625,8.72353828125,9.669857958984375,10.61617763671875,11.562497314453125
"Sports, Fitness & Outdoors -> Cycling & Bicycles",Y,"Receive, check in, inspect (brand new, like new, used), store to a shelf/pallet, B2C/B2B fulfillment",2.1434375,2.1434375,2.1434375,2.1434375,2.1434375,2.1434375,2.1434375,2.1434375,2.4113671875000002,2.6792968750000004,2.9472265625,3.21515625,3.4830859375000003,3.751015625,4.0189453125000005,4.286875,4.286875,4.286875,4.3580854166666665,4.429295833333333,4.50050625,4.6241071875,4.747708125,4.8713090625,4.99491,5.1185109375,5.2266617578125,5.334812578125,5.4429633984375,5.5511142187499996,5.6592650390624994,5.767415859374999,5.8755666796875,5.9837175,6.0918683203125,6.200019140625001,6.2210484667968755,6.24207779296875,6.263107119140625,6.2841364453125,6.305165771484375,6.3261950976562495,6.347224423828124,6.368253749999999,6.389283076171874,6.410312402343749,6.431341728515624,6.452371054687498,6.473400380859373,6.494429707031248,6.515459033203123,6.536488359374998,6.557517685546872,6.578547011718747,6.599576337890623,6.620605664062498,6.6416349902343725,6.662664316406248,6.683693642578124,6.704722968749999,6.7257522949218735,6.746781621093749,6.767810947265625,6.7888402734375,6.8098695996093745,6.83089892578125,7.777218603515625,8.72353828125,9.669857958984375,10.61617763671875,11.562497314453125
"Sports, Fitness & Outdoors -> Exercise & Fitness",Y,"Receive, check in, inspect (brand new, like new, used), store to a shelf/pallet, B2C/B2B fulfillment",2.1434375,2.1434375,2.1434375,2.1434375,2.1434375,2.1434375,2.1434375,2.1434375,2.4113671875000002,2.6792968750000004,2.9472265625,3.21515625,3.4830859375000003,3.751015625,4.0189453125000005,4.286875,4.286875,4.286875,4.3580854166666665,4.429295833333333,4.50050625,4.6241071875,4.747708125,4.8713090625,4.99491,5.1185109375,5.2266617578125,5.334812578125,5.4429633984375,5.5511142187499996,5.6592650390624994,5.767415859374999,5.8755666796875,5.9837175,6.0918683203125,6.200019140625001,6.2210484667968755,6.24207779296875,6.263107119140625,6.2841364453125,6.305165771484375,6.3261950976562495,6.347224423828124,6.368253749999999,6.389283076171874,6.410312402343749,6.431341728515624,6.452371054687498,6.473400380859373,6.494429707031248,6.515459033203123,6.536488359374998,6.557517685546872,6.578547011718747,6.599576337890623,6.620605664062498,6.6416349902343725,6.662664316406248,6.683693642578124,6.704722968749999,6.7257522949218735,6.746781621093749,6.767810947265625,6.7888402734375,6.8098695996093745,6.83089892578125,7.777218603515625,8.72353828125,9.669857958984375,10.61617763671875,11.562497314453125
"Sports, Fitness & Outdoors -> Fishing & Wildlife",Y,"Receive, check in, inspect (brand new, like new, used), store to a shelf/pallet, B2C/B2B fulfillment",2.1434375,2.1434375,2.1434375,2.1434375,2.1434375,2.1434375,2.1434375,2.1434375,2.4113671875000002,2.6792968750000004,2.9472265625,3.21515625,3.4830859375000003,3.751015625,4.0189453125000005,4.286875,4.286875,4.286875,4.3580854166666665,4.429295833333333,4.50050625,4.6241071875,4.747708125,4.8713090625,4.99491,5.1185109375,5.2266617578125,5.334812578125,5.4429633984375,5.5511142187499996,5.6592650390624994,5.767415859374999,5.8755666796875,5.9837175,6.0918683203125,6.200019140625001,6.2210484667968755,6.24207779296875,6.263107119140625,6.2841364453125,6.305165771484375,6.3261950976562495,6.347224423828124,6.368253749999999,6.389283076171874,6.410312402343749,6.431341728515624,6.452371054687498,6.473400380859373,6.494429707031248,6.515459033203123,6.536488359374998,6.557517685546872,6.578547011718747,6.599576337890623,6.620605664062498,6.6416349902343725,6.662664316406248,6.683693642578124,6.704722968749999,6.7257522949218735,6.746781621093749,6.767810947265625,6.7888402734375,6.8098695996093745,6.83089892578125,7.777218603515625,8.72353828125,9.669857958984375,10.61617763671875,11.562497314453125
"Sports, Fitness & Outdoors -> Game Room",Y,"Receive, check in, inspect (brand new, like new, used), store to a shelf/pallet, B2C/B2B fulfillment",2.1434375,2.1434375,2.1434375,2.1434375,2.1434375,2.1434375,2.1434375,2.1434375,2.4113671875000002,2.6792968750000004,2.9472265625,3.21515625,3.4830859375000003,3.751015625,4.0189453125000005,4.286875,4.286875,4.286875,4.3580854166666665,4.429295833333333,4.50050625,4.6241071875,4.747708125,4.8713090625,4.99491,5.1185109375,5.2266617578125,5.334812578125,5.4429633984375,5.5511142187499996,5.6592650390624994,5.767415859374999,5.8755666796875,5.9837175,6.0918683203125,6.200019140625001,6.2210484667968755,6.24207779296875,6.263107119140625,6.2841364453125,6.305165771484375,6.3261950976562495,6.347224423828124,6.368253749999999,6.389283076171874,6.410312402343749,6.431341728515624,6.452371054687498,6.473400380859373,6.494429707031248,6.515459033203123,6.536488359374998,6.557517685546872,6.578547011718747,6.599576337890623,6.620605664062498,6.6416349902343725,6.662664316406248,6.683693642578124,6.704722968749999,6.7257522949218735,6.746781621093749,6.767810947265625,6.7888402734375,6.8098695996093745,6.83089892578125,7.777218603515625,8.72353828125,9.669857958984375,10.61617763671875,11.562497314453125
"Sports, Fitness & Outdoors -> Golf",Y,"Receive, check in, inspect (brand new, like new, used), store to a shelf/pallet, B2C/B2B fulfillment",2.1434375,2.1434375,2.1434375,2.1434375,2.1434375,2.1434375,2.1434375,2.1434375,2.4113671875000002,2.6792968750000004,2.9472265625,3.21515625,3.4830859375000003,3.751015625,4.0189453125000005,4.286875,4.286875,4.286875,4.3580854166666665,4.429295833333333,4.50050625,4.6241071875,4.747708125,4.8713090625,4.99491,5.1185109375,5.2266617578125,5.334812578125,5.4429633984375,5.5511142187499996,5.6592650390624994,5.767415859374999,5.8755666796875,5.9837175,6.0918683203125,6.200019140625001,6.2210484667968755,6.24207779296875,6.263107119140625,6.2841364453125,6.305165771484375,6.3261950976562495,6.347224423828124,6.368253749999999,6.389283076171874,6.410312402343749,6.431341728515624,6.452371054687498,6.473400380859373,6.494429707031248,6.515459033203123,6.536488359374998,6.557517685546872,6.578547011718747,6.599576337890623,6.620605664062498,6.6416349902343725,6.662664316406248,6.683693642578124,6.704722968749999,6.7257522949218735,6.746781621093749,6.767810947265625,6.7888402734375,6.8098695996093745,6.83089892578125,7.777218603515625,8.72353828125,9.669857958984375,10.61617763671875,11.562497314453125
